PID,Type,Module Name,Base Address,Size,Endaddress,Timestamp
10200,Benign,C:\Windows\System32\srvcli.dll                                                                                               , 0x7ffaccbd0000 , 0x28000   , 0x7ffaccbf8000 , 0xcb291c48
10200,Benign,C:\Windows\System32\netutils.dll                                                                                             , 0x7ffad7300000 , 0xc000    , 0x7ffad730c000 , 0xeeaa3672
10200,Benign,C:\Windows\System32\icu.dll                                                                                                  , 0x7ffaab440000 , 0x270000  , 0x7ffaab6b0000 , 0x3572de6e
10200,Benign,C:\Windows\System32\dwmapi.dll                                                                                               , 0x7ffad6200000 , 0x2b000   , 0x7ffad622b000 , 0xa6a20b60
10200,Benign,C:\Windows\System32\winspool.drv                                                                                             , 0x7ffabf900000 , 0xa8000   , 0x7ffabf9a8000 , 0xdb9fe3a5
10200,Benign,C:\Program Files\WindowsApps\Microsoft.VCLibs.140.00.UWPDesktop_14.0.33728.0_x64__8wekyb3d8bbwe\msvcp140.dll                 , 0x7ffabc0b0000 , 0x8d000   , 0x7ffabc13d000 , 0xae6bf780
10200,Benign,C:\Windows\System32\uxtheme.dll                                                                                              , 0x7ffad5df0000 , 0xab000   , 0x7ffad5e9b000 , 0x08489c70
10200,Benign,C:\Program Files\WindowsApps\Microsoft.VCLibs.140.00.UWPDesktop_14.0.33728.0_x64__8wekyb3d8bbwe\VCRUNTIME140_1.dll           , 0x7ffac14f0000 , 0xc000    , 0x7ffac14fc000 , 0x3ffd6ebf
10200,Benign,C:\Program Files\WindowsApps\Microsoft.VCLibs.140.00.UWPDesktop_14.0.33728.0_x64__8wekyb3d8bbwe\VCRUNTIME140.dll             , 0x7ffabc070000 , 0x1e000   , 0x7ffabc08e000 , 0xf3e8e773
10200,Benign,C:\Program Files\WindowsApps\Microsoft.VCLibs.140.00.UWPDesktop_14.0.33728.0_x64__8wekyb3d8bbwe\MSVCP140_ATOMIC_WAIT.dll     , 0x7ffabc090000 , 0x14000   , 0x7ffabc0a4000 , 0x60e81944
10200,Benign,C:\Windows\System32\imm32.dll                                                                                                , 0x7ffada1f0000 , 0x31000   , 0x7ffada221000 , 0x25b6f46e
10200,Benign,C:\Windows\System32\kernel.appcore.dll                                                                                       , 0x7ffad7890000 , 0x18000   , 0x7ffad78a8000 , 0x8aca7e42
10200,Benign,C:\Windows\System32\bcryptPrimitives.dll                                                                                     , 0x7ffad90e0000 , 0x79000   , 0x7ffad9159000 , 0x9577b61f
10200,Benign,C:\Windows\System32\clbcatq.dll                                                                                              , 0x7ffada390000 , 0xb0000   , 0x7ffada440000 , 0x8bfd4b9e
10200,Benign,C:\Windows\System32\MrmCoreR.dll                                                                                             , 0x7ffacb050000 , 0x116000  , 0x7ffacb166000 , 0x883d6cc8
10200,Benign,C:\Windows\System32\windows.staterepositoryclient.dll                                                                        , 0x7fface6a0000 , 0x3d000   , 0x7fface6dd000 , 0x2e0f0aa7
10200,Benign,C:\Windows\System32\windows.staterepositorycore.dll                                                                          , 0x7fface7c0000 , 0x1a000   , 0x7fface7da000 , 0x58bb72d4
10200,Benign,C:\Windows\System32\profapi.dll                                                                                              , 0x7ffad87a0000 , 0x21000   , 0x7ffad87c1000 , 0x3f8e9009
10200,Benign,C:\Windows\System32\Windows.UI.dll                                                                                           , 0x7ffac6d30000 , 0x175000  , 0x7ffac6ea5000 , 0x21604a61
10200,Benign,C:\Windows\System32\BCP47mrm.dll                                                                                             , 0x7ffac6c80000 , 0x32000   , 0x7ffac6cb2000 , 0xa3392df3
10200,Benign,C:\Windows\System32\twinapi.appcore.dll                                                                                      , 0x7ffac7c20000 , 0x28b000  , 0x7ffac7eab000 , 0xcfee12e9
10200,Benign,C:\Windows\System32\WinTypes.dll                                                                                             , 0x7ffad6670000 , 0x13e000  , 0x7ffad67ae000 , 0xa3cbed5f
10200,Benign,C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2404.10.0_x64__8wekyb3d8bbwe\Notepad\NotepadXamlUI.dll              , 0x7ffa76e20000 , 0x473000  , 0x7ffa77293000 , 0x664d4b48
10200,Benign,C:\Program Files\WindowsApps\Microsoft.VCLibs.140.00_14.0.33519.0_x64__8wekyb3d8bbwe\VCRUNTIME140_APP.dll                    , 0x7ffac30c0000 , 0x1d000   , 0x7ffac30dd000 , 0x3d0e4d61
10200,Benign,C:\Windows\System32\DWrite.dll                                                                                               , 0x7ffad45c0000 , 0x274000  , 0x7ffad4834000 , 0xa40fc784
10200,Benign,C:\Program Files\WindowsApps\Microsoft.VCLibs.140.00_14.0.33519.0_x64__8wekyb3d8bbwe\VCRUNTIME140_1_APP.dll                  , 0x7ffaca240000 , 0xc000    , 0x7ffaca24c000 , 0x241f0f10
10200,Benign,C:\Program Files\WindowsApps\Microsoft.VCLibs.140.00_14.0.33519.0_x64__8wekyb3d8bbwe\MSVCP140_APP.dll                        , 0x7ffabf030000 , 0x8c000   , 0x7ffabf0bc000 , 0xe107244e
10200,Benign,C:\Windows\System32\Windows.UI.Xaml.dll                                                                                      , 0x7ffab4a00000 , 0x1225000 , 0x7ffab5c25000 , 0xac70373e
10200,Benign,C:\Windows\System32\ntmarta.dll                                                                                              , 0x7ffad78b0000 , 0x34000   , 0x7ffad78e4000 , 0xf264e279
10200,Benign,C:\Windows\System32\powrprof.dll                                                                                             , 0x7ffad8730000 , 0x4d000   , 0x7ffad877d000 , 0xeb1e08e2
10200,Benign,C:\Windows\System32\umpdc.dll                                                                                                , 0x7ffad8710000 , 0x13000   , 0x7ffad8723000 , 0x84929b4c
10200,Benign,C:\Windows\System32\OneCoreUAPCommonProxyStub.dll                                                                            , 0x7ffacbe10000 , 0x627000  , 0x7ffacc437000 , 0x528c2108
10200,Benign,C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2404.10.0_x64__8wekyb3d8bbwe\Notepad\msptls.dll                     , 0x7ffa80330000 , 0x1af000  , 0x7ffa804df000 , 0x65eaa72c
10200,Benign,C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2404.10.0_x64__8wekyb3d8bbwe\Notepad\riched20.dll                   , 0x7ffa7e500000 , 0x339000  , 0x7ffa7e839000 , 0x6604a2c3
10200,Benign,C:\Windows\System32\oleacc.dll                                                                                               , 0x7ffac7fc0000 , 0x69000   , 0x7ffac8029000 , 0xad049a8a
10200,Benign,C:\Windows\System32\Windows.Storage.ApplicationData.dll                                                                      , 0x7ffac0cc0000 , 0x67000   , 0x7ffac0d27000 , 0xe4a82717
10200,Benign,C:\Windows\System32\windows.storage.dll                                                                                      , 0x7ffad67b0000 , 0x8f6000  , 0x7ffad70a6000 , 0x55930d47
10200,Benign,C:\Windows\System32\cfgmgr32.dll                                                                                             , 0x7ffad8460000 , 0x4e000   , 0x7ffad84ae000 , 0x0b33d799
10200,Benign,C:\Windows\System32\InputHost.dll                                                                                            , 0x7ffac3210000 , 0x20c000  , 0x7ffac341c000 , 0x82297df2
