PID,Type,VA Start,RVA,Size
10076,Benign,0x27c00084000  , 0x464c305  , 0x3000
10076,Benign,0x27c00094000  , 0x464f305  , 0xc000
10076,Benign,0x27c000a4000  , 0x465b305  , 0x1000
10076,Benign,0x27c000b0000  , 0x465c305  , 0x1000
10076,Benign,0x27c000bc000  , 0x465d305  , 0x1000
10076,Benign,0x27c000cc000  , 0x465e305  , 0x1000
10076,Benign,0x27c000d8000  , 0x465f305  , 0x1000
10076,Benign,0x27c000e8000  , 0x4660305  , 0x70000
10076,Benign,0x27c00201000  , 0x46d0305  , 0x1000
10076,Benign,0x27c00204000  , 0x46d1305  , 0x1100000
10076,Benign,0x27c01401000  , 0x57d1305  , 0x1000
10076,Benign,0x27c01404000  , 0x57d2305  , 0x1100000
10076,Benign,0x28280000000  , 0x68d2305  , 0x1000000
10076,Benign,0x38100000000  , 0x78d2305  , 0x10000
10076,Benign,0x38100010000  , 0x78e2305  , 0x10000
10076,Benign,0xd0749e90000  , 0x78f2305  , 0x1000
10076,Benign,0xd0749e91000  , 0x78f3305  , 0x1000
10076,Benign,0x175239940000 , 0x78f4305  , 0x1000
10076,Benign,0x175239941000 , 0x78f5305  , 0x4000
10076,Benign,0x22b400201000 , 0x78f9305  , 0x1000
10076,Benign,0x22b40020c000 , 0x78fa305  , 0x1000
10076,Benign,0x22b400210000 , 0x78fb305  , 0x2000
10076,Benign,0x22b400220000 , 0x78fd305  , 0x2000
10076,Benign,0x22b400230000 , 0x78ff305  , 0x1000
10076,Benign,0x22b400234000 , 0x7900305  , 0x1000
10076,Benign,0x22b400238000 , 0x7901305  , 0x1000
10076,Benign,0x22b400240000 , 0x7902305  , 0xd000
10076,Benign,0x22b400254000 , 0x790f305  , 0x1000
10076,Benign,0x22b400264000 , 0x7910305  , 0xc000
10076,Benign,0x22b400274000 , 0x791c305  , 0x1000
10076,Benign,0x22b400278000 , 0x791d305  , 0x1000
10076,Benign,0x22b400284000 , 0x791e305  , 0xc000
